15	onto; indicating where (or against what) contact is made (e.g., threw spaghetti on the wall)
109	indicating the direct object, theme, or patient (the thing modified) associated with the governing verb-derived/verb-like noun (e.g., modification of cars)
208	indicating connection(s), interaction(s), or relationship(s) involving two or members of a group or community (X2) (e.g., fight among the miners)
112	(measure/number/amount -of- something(s)) connecting a formal measure term or count with what is being measured/counted (e.g., six of them)
30	located at a position on the other side of something (e.g., the building around the corner)
2	indicating the part(s) of the body supporting the rest of the body (e.g., stood on his feet)
27	indicating the topic of desire (e.g., longed for peace)
66	indicating the physical starting point, as of movement or extension (e.g., travel from Maine, a rope from the front to the back)
199	indicating the function or character someone/something has or is supposed/assigned/believed to have
111	(part/member-of-whole) indicating the whole in a part-of-whole relationship (e.g., the roots of the tree)
219	expressing location or arrival at a particular place or position (e.g., he is at the store)
152	indicating a LOCATION that surrounds (or can be viewed as surrounding) something else (e.g., the cow in the meadow)
211	metaphorically within (a person's body or mind), as of emotions and sensations (i.e., the anger burned inside him)
80	indicating the complement of a cognitive/emotional word (e.g., resentment towards him)
81	indicating a LOCATION at the side of / next to X2
5	having (the thing mentioned) as a topic; about (e.g., knowledge on sailing)
128	indicating a participating entity/thing in an action/activity (e.g., talk with Joe, merge with traffic)
118	indicating the group in a member-of-group relationship (e.g., Joe is with the marines, grouped with alternative medicine)
73	(specific to verbs / actions) in the manner of; as if done by; as if the complement of the preposition were the subject of an active voice sentence using the same verb or predicative adjective (e.g., screamed like a banshee [screams], smells like a dog [smells])
77	indicating a LOCATION something moves, extends, or is oriented in the direction of (e.g., move towards him)
26	used to or intended to contain (e.g., jar for cookies)
49	expressing a state, condition, form, or activity being entered (e.g., broke into pieces, jolted into despair)
187	expressing passage, extension, or perception that goes (perhaps to many places) within (and, perhaps, out of) someplace/something; or alternatively, into and then out of (e.g., go through the tunnel)
197	from one side of X2 to another (e.g., he ran across the bridge)
135	moving toward or located at a point further along a PATH (e.g., he went down the road)
23	indicating the temporal extent (e.g., for 16 minutes)
174	on the subject of; concerning (as of communication, thoughts, information, fights, etc.)
84	following X2 in time (and, in some cases, also caused by X2) (e.g., happen after the wedding)
67	indicating the location where someone/something who is communicating is at (e.g., he called from the lobby)
217	indicating the subject matter (X2) (often one that provokes a mental reaction or an expression indicative thereof) (X1) (e.g., angry at Joe)
110	indicating the subject/topic matter; about (e.g., spoke of the trouble)
126	expressing a possessive relationship (e.g., the man with the hat)
60	indicating the physical starting point, as of movement or extension (e.g., travel from Maine, a rope from the front to the back)
