sentence_id	sentence	label_id	definition
0	"The USSR 's fifteen union republics , united <head>on</head> a supposedly voluntary basis , formed an ` integral , federal , multinational state "" , according to the 1977 Constitution ."	22	having (the thing mentioned) as criteria used in judgment or evaluation or as a/the justification for an action (e.g., judged on his actions)
1	Taking usage rate as a variable essentially means segmenting <head>on</head> the basis of volume purchased .	22	having (the thing mentioned) as criteria used in judgment or evaluation or as a/the justification for an action (e.g., judged on his actions)
2	She pinched bruises <head>on</head> her daughter 's inner arm , and had poured hot tea on both daughters .	1	indicating a surface that, due to contact with, serves as the cause or means of causing something (e.g., cooked on the open flame)
3	Gingerly I squeezed a bit <head>on</head> my fingertip .	1	indicating a surface that, due to contact with, serves as the cause or means of causing something (e.g., cooked on the open flame)
4	Tom squeezed <head>on</head> the reins and they came to a halt .	13	physically in contact with and supported by (a surface) (e.g., the book on the table)
5	I pointed my piece at Johnny and squeezed <head>on</head> the trigger .	13	physically in contact with and supported by (a surface) (e.g., the book on the table)
6	Madeleine and Victorine stood behind his wheelchair , like nurses , while the two girls huddled <head>on</head> the windowseat .	13	physically in contact with and supported by (a surface) (e.g., the book on the table)
7	She would kneel <head>on</head> the floor behind the sofa and pull out the tall books of art reproductions .	13	physically in contact with and supported by (a surface) (e.g., the book on the table)
8	She knelt <head>on</head> the cold stone floor and carefully placed some coals on the dying embers in the grate .	13	physically in contact with and supported by (a surface) (e.g., the book on the table)
9	Sung was kneeling <head>on</head> the top of the dyke , staring across at the House as the dawn broke .	13	physically in contact with and supported by (a surface) (e.g., the book on the table)
10	"` The premises are freehold , "" he continued , not responding to my comment , but at least no longer leaning <head>on</head> the counter ."	13	physically in contact with and supported by (a surface) (e.g., the book on the table)
11	The eleventh commandment : Thou shalt not lean <head>on</head> thy left elbow , or else .	3	indicating the part(s) of the body supporting the rest of the body (e.g., stood on his feet)
12	She made no effort to turn over , although she thought about it , imagined how it might be to lean <head>on</head> one elbow , to twist her body in a single movement .	3	indicating the part(s) of the body supporting the rest of the body (e.g., stood on his feet)
13	Charles stood on the narrow pavement , leaning <head>on</head> the wooden parapet , and looked down into the water , which seemed infinitely deep in the darkness .	13	physically in contact with and supported by (a surface) (e.g., the book on the table)
14	Her third cup of tea she balanced on her stomach , lying full length <head>on</head> the bed and pointing her stockinged toes into the air , sighting various objects over them with one eye closed .	3	indicating the part(s) of the body supporting the rest of the body (e.g., stood on his feet)
15	Stephen is lying full length <head>on</head> the grass , the dog curled inside his arm , snuffling against his shirt .	13	physically in contact with and supported by (a surface) (e.g., the book on the table)
16	She was discovered lying half naked <head>on</head> the river bank .	13	physically in contact with and supported by (a surface) (e.g., the book on the table)
17	Lying <head>on</head> his back , his legs spread wide , and occupying more than his fair share of the bed , he began to snore .	3	indicating the part(s) of the body supporting the rest of the body (e.g., stood on his feet)
18	She was lying <head>on</head> her bed and , the moment I entered the room , I could see that something was wrong .	13	physically in contact with and supported by (a surface) (e.g., the book on the table)
19	` The assassin must have been lying <head>on</head> the ground or Father standing on some steps ?	13	physically in contact with and supported by (a surface) (e.g., the book on the table)
20	Greg is lying <head>on</head> one of the Palace 's luxuriant couches , gesticulating wildly and fixing me with a stare that is part ultimate artistic earnestness and part repressed pathological violence .	13	physically in contact with and supported by (a surface) (e.g., the book on the table)
21	She was lying <head>on</head> one of the sofas in the drawing-room .	13	physically in contact with and supported by (a surface) (e.g., the book on the table)
22	Lying <head>on</head> your tummy , raise your head and shoulders , curving the spine , inch by inch .	3	indicating the part(s) of the body supporting the rest of the body (e.g., stood on his feet)
23	Because he sat most nights <head>on</head> his own and looking very much removed from the whole crowd , very dark-browed and quiet , we speculated endlessly on his story .	22	having (the thing mentioned) as criteria used in judgment or evaluation or as a/the justification for an action (e.g., judged on his actions)
24	Lee sat sideways <head>on</head> the crossbar and Philip freewheeled down the hill .	13	physically in contact with and supported by (a surface) (e.g., the book on the table)
25	Ruth sat <head>on</head> the loo and held her head in her hands .	13	physically in contact with and supported by (a surface) (e.g., the book on the table)
